Month,Date,Day,Sales
June,6/27/19,Thursday,16764.27
June,6/28/19,Friday,19360.85
June,6/29/19,Saturday,20042.23
June,6/30/19,Sunday,19551.15
July,7/1/19,Monday,2866.68
July,7/2/19,Tuesday,7887.98
July,7/3/19,Wednesday,9477.86
July,7/4/19,Thursday,12178.80
July,7/5/19,Friday,8759.65
July,7/6/19,Saturday,9809.34
July,7/7/19,Sunday,14081.74
July,7/8/19,Monday,2694.81
July,7/9/19,Tuesday,15340.13
July,7/10/19,Wednesday,15076.18
July,7/11/19,Thursday,7648.58
July,7/12/19,Friday,6568.20
July,7/13/19,Saturday,11700.00
July,7/14/19,Sunday,8808.76
July,7/15/19,Monday,4008.45
July,7/16/19,Tuesday,3290.24
July,7/17/19,Wednesday,8096.69
July,7/18/19,Thursday,10564.37
July,7/19/19,Friday,11331.69
July,7/20/19,Saturday,10908.13
July,7/21/19,Sunday,12184.94
July,7/22/19,Monday,3431.43
July,7/23/19,Tuesday,14173.81
July,7/24/19,Wednesday,8434.31
July,7/25/19,Thursday,6684.84
July,7/26/19,Friday,15082.31
July,7/27/19,Saturday,6206.03
July,7/28/19,Sunday,15573.39
July,7/29/19,Monday,2320.36
July,7/30/19,Tuesday,17979.69
July,7/31/19,Wednesday,3425.29
August,8/1/19,Thursday,6236.72
August,8/2/19,Friday,7446.01
August,8/3/19,Saturday,11534.26
August,8/4/19,Sunday,20969.14
August,8/5/19,Monday,3947.06
August,8/6/19,Tuesday,5187.04
August,8/7/19,Wednesday,12688.30
August,8/8/19,Thursday,7421.46
August,8/9/19,Friday,9428.75
August,8/10/19,Saturday,12522.56
August,8/11/19,Sunday,8722.82
August,8/12/19,Monday,5549.21
August,8/13/19,Tuesday,12731.27
August,8/14/19,Wednesday,8434.31
August,8/15/19,Thursday,9060.44
August,8/16/19,Friday,15162.11
August,8/17/19,Saturday,7163.64
August,8/18/19,Sunday,7930.95
August,8/19/19,Monday,4616.16
August,8/20/19,Tuesday,3333.21
August,8/21/19,Wednesday,3425.29
August,8/22/19,Thursday,8440.45
August,8/23/19,Friday,14542.13
August,8/24/19,Saturday,11515.84
August,8/25/19,Sunday,18090.18
August,8/26/19,Monday,7495.12
August,8/27/19,Tuesday,8771.93
August,8/28/19,Wednesday,8839.45
August,8/29/19,Thursday,5905.24
August,8/30/19,Friday,9717.26
August,8/31/19,Saturday,10067.15
September,9/1/19,Sunday,4622.30
September,9/2/19,Monday,3701.52
September,9/3/19,Tuesday,5782.47
September,9/4/19,Wednesday,5346.64
September,9/5/19,Thursday,12037.61
September,9/6/19,Friday,6924.24
September,9/7/19,Saturday,16518.73
September,9/8/19,Sunday,11313.27
September,9/9/19,Monday,4745.07
September,9/10/19,Tuesday,2295.80
September,9/11/19,Wednesday,3363.90
September,9/12/19,Thursday,6819.88
September,9/13/19,Friday,5942.08
September,9/14/19,Saturday,6617.31
September,9/15/19,Sunday,9889.14
September,9/16/19,Monday,7157.50
September,9/17/19,Tuesday,4628.44
September,9/18/19,Wednesday,2326.49
September,9/19/19,Thursday,57094.26
September,9/20/19,Friday,6070.98
September,9/21/19,Saturday,7335.52
September,9/22/19,Sunday,5659.70
September,9/23/19,Monday,1387.30
September,9/24/19,Tuesday,4861.70
September,9/25/19,Wednesday,3406.87
September,9/26/19,Thursday,11620.20
September,9/27/19,Friday,736.62
September,9/28/19,Saturday,5543.07
September,9/29/19,Sunday,6918.10
September,9/30/19,Monday,4303.09
October,10/1/19,Tuesday,4223.29
October,10/2/19,Wednesday,10103.98
October,10/3/19,Thursday,8888.56
October,10/4/19,Friday,8201.05
October,10/5/19,Saturday,8864.01
October,10/6/19,Sunday,8286.99
October,10/7/19,Monday,3640.14
October,10/8/19,Tuesday,5696.54
October,10/9/19,Wednesday,6163.06
October,10/10/19,Thursday,7875.71
October,10/11/19,Friday,32810.33
October,10/12/19,Saturday,6654.14
October,10/13/19,Sunday,14186.09
October,10/14/19,Monday,7458.29
October,10/15/19,Tuesday,12553.25
October,10/16/19,Wednesday,9330.53
October,10/17/19,Thursday,6911.96
October,10/18/19,Friday,8673.71
October,10/19/19,Saturday,13652.04
October,10/20/19,Sunday,13253.04
October,10/21/19,Monday,3050.84
October,10/22/19,Tuesday,10638.03
October,10/23/19,Wednesday,3996.17
October,10/24/19,Thursday,4168.05
October,10/25/19,Friday,0.00
October,10/26/19,Saturday,25818.56
October,10/27/19,Sunday,15714.58
October,10/28/19,Monday,6543.65
October,10/29/19,Tuesday,9183.21
October,10/30/19,Wednesday,11663.17
October,10/31/19,Thursday,12129.69
November,11/1/19,Friday,14087.88
November,11/2/19,Saturday,15444.49
November,11/3/19,Sunday,18237.51
November,11/4/19,Monday,12000.78
November,11/5/19,Tuesday,14173.81
November,11/6/19,Wednesday,9600.63
November,11/7/19,Thursday,13160.96
November,11/8/19,Friday,12491.86
November,11/9/19,Saturday,18802.25
November,11/10/19,Sunday,17482.47
November,11/11/19,Monday,18139.29
November,11/12/19,Tuesday,26407.86
November,11/13/19,Wednesday,25063.53
November,11/14/19,Thursday,24461.95
November,11/15/19,Friday,21091.91
November,11/16/19,Saturday,29759.49
November,11/17/19,Sunday,31975.49
November,11/18/19,Monday,14707.87
November,11/19/19,Tuesday,44774.28
November,11/20/19,Wednesday,31754.50
November,11/21/19,Thursday,0.00
November,11/22/19,Friday,15708.44
November,11/23/19,Saturday,11350.10
November,11/24/19,Sunday,9864.58
November,11/25/19,Monday,5009.02
November,11/26/19,Tuesday,8133.52
November,11/27/19,Wednesday,11601.78
November,11/28/19,Thursday,106932.81
November,11/29/19,Friday,12172.66
November,11/30/19,Saturday,4702.10
December,12/1/19,Sunday,13891.44
December,12/2/19,Monday,4916.94
December,12/3/19,Tuesday,9097.27
December,12/4/19,Wednesday,4548.63
December,12/5/19,Thursday,9766.37
December,12/6/19,Friday,4573.19
December,12/7/19,Saturday,9115.68
December,12/8/19,Sunday,11135.25
December,12/9/19,Monday,5653.57
December,12/10/19,Tuesday,8888.56
December,12/11/19,Wednesday,3738.35
December,12/12/19,Thursday,4100.52
December,12/13/19,Friday,8557.08
December,12/14/19,Saturday,7887.98
December,12/15/19,Sunday,13860.75
December,12/16/19,Monday,5751.78
December,12/17/19,Tuesday,10588.93
December,12/18/19,Wednesday,4855.56
December,12/19/19,Thursday,12933.84
December,12/20/19,Friday,10558.23
December,12/21/19,Saturday,11577.23
December,12/22/19,Sunday,19575.70
December,12/23/19,Monday,5862.28
December,12/24/19,Tuesday,5868.41
December,12/25/19,Wednesday,9864.58
December,12/26/19,Thursday,11300.99
December,12/27/19,Friday,13639.76
December,12/28/19,Saturday,11049.31
December,12/29/19,Sunday,17740.29
December,12/30/19,Monday,10177.65
December,12/31/19,Tuesday,5923.66
January,1/1/20,Wednesday,2038.46
January,1/2/20,Thursday,3129.02
January,1/3/20,Friday,4978.82
January,1/4/20,Saturday,3119.81
January,1/5/20,Sunday,2820.72
January,1/6/20,Monday,11052.79
January,1/7/20,Tuesday,13937.92
January,1/8/20,Wednesday,2190.31
January,1/9/20,Thursday,5880.71
January,1/10/20,Friday,6856.22
January,1/11/20,Saturday,11236.85
January,1/12/20,Sunday,5535.60
January,1/13/20,Monday,7564.85
January,1/14/20,Tuesday,9801.18
January,1/15/20,Wednesday,2171.90
January,1/16/20,Thursday,6722.78
January,1/17/20,Friday,4767.15
January,1/18/20,Saturday,6773.40
January,1/19/20,Sunday,6175.20
January,1/20/20,Monday,8650.81
January,1/21/20,Tuesday,10643.25
January,1/22/20,Wednesday,1725.56
January,1/23/20,Thursday,4095.33
January,1/24/20,Friday,4279.39
January,1/25/20,Saturday,10546.62
January,1/26/20,Sunday,9814.98
January,1/27/20,Monday,8747.44
January,1/28/20,Tuesday,14269.23
January,1/29/20,Wednesday,3750.22
January,1/30/20,Thursday,2967.96
January,1/31/20,Friday,2728.69
February,2/1/20,Saturday,6488.11
February,2/2/20,Sunday,3561.56
February,2/3/20,Monday,5342.33
February,2/4/20,Tuesday,10822.71
February,2/5/20,Wednesday,3681.19
February,2/6/20,Thursday,3064.59
February,2/7/20,Friday,5402.15
February,2/8/20,Saturday,32707.41
February,2/9/20,Sunday,3354.49
February,2/10/20,Monday,3842.25
February,2/11/20,Tuesday,1325.23
February,2/12/20,Wednesday,1951.03
February,2/13/20,Thursday,3308.47
February,2/14/20,Friday,3865.25
February,2/15/20,Saturday,2972.56
February,2/16/20,Sunday,1325.23
February,2/17/20,Monday,819.07
February,2/18/20,Tuesday,4132.14
February,2/19/20,Wednesday,377.32
February,2/20/20,Thursday,138.04
February,2/21/20,Friday,1762.37
February,2/22/20,Saturday,2880.53
February,2/23/20,Sunday,3653.59
February,2/24/20,Monday,2471.00
February,2/25/20,Tuesday,3359.09
February,2/26/20,Wednesday,1872.81
February,2/27/20,Thursday,791.46
February,2/28/20,Friday,2839.12
March,3/1/20,Saturday,681.02
March,3/2/20,Sunday,156.45
March,3/3/20,Monday,2843.72
March,3/4/20,Tuesday,1532.30
March,3/5/20,Wednesday,869.68
March,3/6/20,Thursday,1371.24
March,3/7/20,Friday,1343.64
March,3/8/20,Saturday,1937.23
March,3/9/20,Sunday,754.64
March,3/10/20,Monday,1104.36
March,3/11/20,Tuesday,0.00
March,3/12/20,Wednesday,0.00
March,3/13/20,Thursday,1859.00
March,3/14/20,Friday,469.35
March,3/15/20,Saturday,303.70
March,3/16/20,Sunday,943.31
March,3/17/20,Monday,929.50
March,3/18/20,Tuesday,0.00
March,3/19/20,Wednesday,0.00
March,3/20/20,Thursday,1610.52
March,3/21/20,Friday,989.32
March,3/22/20,Saturday,791.46
March,3/23/20,Sunday,1408.06
March,3/24/20,Monday,243.88
March,3/25/20,Tuesday,0.00
March,3/26/20,Wednesday,0.00
March,3/27/20,Thursday,1334.43
March,3/28/20,Friday,276.09
March,3/29/20,Saturday,1532.30
March,3/30/20,Sunday,731.64
March,3/31/20,Monday,-179.46
April,4/1/20,Tuesday,0.00
April,4/2/20,Wednesday,0.00
April,4/3/20,Thursday,1928.03
April,4/4/20,Friday,621.20
April,4/5/20,Saturday,736.24
April,4/6/20,Sunday,653.41
April,4/7/20,Monday,0.00
April,4/8/20,Tuesday,0.00
April,4/9/20,Wednesday,0.00
April,4/10/20,Thursday,0.00
April,4/11/20,Friday,5843.90
April,4/12/20,Saturday,5135.27
April,4/13/20,Sunday,4435.84
April,4/14/20,Monday,6552.53
April,4/15/20,Tuesday,2098.28
April,4/16/20,Wednesday,4905.19
April,4/17/20,Thursday,1905.02
April,4/18/20,Friday,3317.68
April,4/19/20,Saturday,4376.02
April,4/20/20,Sunday,6156.80
April,4/21/20,Monday,7937.58
April,4/22/20,Tuesday,9695.35
April,4/23/20,Wednesday,5402.15
April,4/24/20,Thursday,2871.33
April,4/25/20,Friday,9939.22
April,4/26/20,Saturday,6920.65
April,4/27/20,Sunday,7758.12
April,4/28/20,Monday,7762.72
April,4/29/20,Tuesday,3487.93
April,4/30/20,Wednesday,2323.75
May,5/1/20,Thursday,7100.10
May,5/2/20,Friday,6373.07
May,5/3/20,Saturday,2756.29
May,5/4/20,Sunday,8176.85
May,5/5/20,Monday,7242.75
May,5/6/20,Tuesday,7288.76
May,5/7/20,Wednesday,3984.89
May,5/8/20,Thursday,6842.42
May,5/9/20,Friday,3731.81
May,5/10/20,Saturday,8084.82
May,5/11/20,Sunday,1348.24
May,5/12/20,Monday,6589.34
May,5/13/20,Tuesday,10132.49
May,5/14/20,Wednesday,2737.89
May,5/15/20,Thursday,4504.86
May,5/16/20,Friday,9690.74
May,5/17/20,Saturday,5577.01
May,5/18/20,Sunday,8747.44
May,5/19/20,Monday,7523.44
May,5/20/20,Tuesday,8738.24
